platform,score,link,userScore,releaseDate,Title,
3ds,81,https://www.metacritic.com/game/3ds/fire-emblem-echoes-shadows-of-valentia,8.6,2017-05-19,Fire Emblem Echoes: Shadows of Valentia,
3ds,81,https://www.metacritic.com/game/3ds/mario-luigi-dream-team,8.2,2013-08-11,Mario & Luigi: Dream Team,
3ds,81,https://www.metacritic.com/game/3ds/professor-layton-and-the-azran-legacy,8.1,2014-02-28,Professor Layton and the Azran Legacy,
3ds,81,https://www.metacritic.com/game/3ds/star-fox-64-3d,8.1,2011-09-09,Star Fox 64 3D,
3ds,81,https://www.metacritic.com/game/3ds/phoenix-wright-ace-attorney---spirit-of-justice,8.3,2016-09-08,Phoenix Wright: Ace Attorney - Spirit of Justice,
3ds,81,https://www.metacritic.com/game/3ds/persona-q2-new-cinema-labyrinth,7.8,2019-06-04,Persona Q2: New Cinema Labyrinth,
3ds,81,https://www.metacritic.com/game/3ds/bravely-second-end-layer,8.2,2016-04-15,Bravely Second: End Layer,
3ds,81,https://www.metacritic.com/game/3ds/zero-escape-zero-time-dilemma,8,2016-06-28,Zero Escape: Zero Time Dilemma,
3ds,81,https://www.metacritic.com/game/3ds/etrian-odyssey-nexus,6.6,2019-02-05,Etrian Odyssey Nexus,
3ds,81,https://www.metacritic.com/game/3ds/dragon-quest-vii-fragments-of-the-forgotten-past,8.3,2016-09-16,Dragon Quest VII: Fragments of the Forgotten Past,
3ds,81,https://www.metacritic.com/game/3ds/3d-after-burner-ii,7.8,2015-01-15,3D After Burner II,
3ds,80,https://www.metacritic.com/game/3ds/shin-megami-tensei-strange-journey-redux,3.5,2018-05-15,Shin Megami Tensei: Strange Journey Redux,
3ds,80,https://www.metacritic.com/game/3ds/boxboxboy!,7.9,2016-06-30,BoxBoxBoy!,
3ds,80,https://www.metacritic.com/game/3ds/etrian-odyssey-untold-the-millennium-girl,8.1,2013-10-01,Etrian Odyssey Untold: The Millennium Girl,
3ds,80,https://www.metacritic.com/game/3ds/mutant-mudds,6.8,2012-01-26,Mutant Mudds,
3ds,80,https://www.metacritic.com/game/3ds/gunman-clive-2,7.7,2015-01-20,Gunman Clive 2,
3ds,80,https://www.metacritic.com/game/3ds/etrian-odyssey-v-beyond-the-myth,7.9,2017-10-17,Etrian Odyssey V: Beyond the Myth,
3ds,80,https://www.metacritic.com/game/3ds/style-savvy-styling-star,7.2,2017-12-25,Style Savvy: Styling Star,
3ds,80,https://www.metacritic.com/game/3ds/yo-kai-watch-3,7.6,2019-02-08,Yo-kai Watch 3,
3ds,80,https://www.metacritic.com/game/3ds/boxboy!,8.1,2015-04-02,BOXBOY!,
3ds,80,https://www.metacritic.com/game/3ds/kirby-triple-deluxe,8.7,2014-05-02,Kirby: Triple Deluxe,
3ds,80,https://www.metacritic.com/game/3ds/hatsune-miku-project-mirai-dx,8.1,2015-09-08,Hatsune Miku: Project Mirai DX,
3ds,79,https://www.metacritic.com/game/3ds/dead-or-alive-dimensions,8.1,2011-05-24,Dead or Alive: Dimensions,
3ds,79,https://www.metacritic.com/game/3ds/kirbys-extra-epic-yarn,6.7,2019-03-08,Kirby's Extra Epic Yarn,
3ds,79,https://www.metacritic.com/game/3ds/monster-hunter-3-ultimate,7.9,2013-03-19,Monster Hunter 3 Ultimate,
3ds,79,https://www.metacritic.com/game/3ds/stella-glow,8.4,2015-11-17,Stella Glow,
3ds,79,https://www.metacritic.com/game/3ds/professor-layton-vs-phoenix-wright-ace-attorney,8.3,2014-08-29,Professor Layton VS Phoenix Wright Ace Attorney,
3ds,79,https://www.metacritic.com/game/3ds/zen-pinball-3d,7.8,2012-01-12,ZEN Pinball 3D,
3ds,79,https://www.metacritic.com/game/3ds/captain-toad-treasure-tracker,6.8,2018-07-13,Captain Toad: Treasure Tracker,
3ds,79,https://www.metacritic.com/game/3ds/mighty-switch-force!,7.7,2011-12-22,Mighty Switch Force!,
3ds,79,https://www.metacritic.com/game/3ds/monster-hunter-stories,8.2,2017-09-08,Monster Hunter Stories,
3ds,78,https://www.metacritic.com/game/3ds/the-denpa-men-they-came-by-wave,7.5,2012-09-27,The Denpa Men: They Came By Wave,
3ds,78,https://www.metacritic.com/game/3ds/metal-gear-solid-snake-eater-3d,7.9,2012-02-21,Metal Gear Solid: Snake Eater 3D,
3ds,78,https://www.metacritic.com/game/3ds/theatrhythm-final-fantasy,7.8,2012-07-03,Theatrhythm Final Fantasy,
3ds,78,https://www.metacritic.com/game/3ds/fluidity-spin-cycle,6.6,2012-12-27,Fluidity: Spin Cycle,
3ds,78,https://www.metacritic.com/game/3ds/mario-and-donkey-kong-minis-on-the-move,7.3,2013-05-09,Mario and Donkey Kong: Minis on the Move,
3ds,78,https://www.metacritic.com/game/3ds/mario-golf-world-tour,8.1,2014-05-02,Mario Golf: World Tour,
3ds,78,https://www.metacritic.com/game/3ds/warioware-gold,8.1,2018-08-03,WarioWare Gold,
3ds,78,https://www.metacritic.com/game/3ds/rune-factory-4,8.2,2013-10-01,Rune Factory 4,
3ds,78,https://www.metacritic.com/game/3ds/inazuma-eleven,8,2014-02-13,Inazuma Eleven,
3ds,78,https://www.metacritic.com/game/3ds/shin-megami-tensei-devil-survivor-overclocked,4.4,2011-08-23,Shin Megami Tensei: Devil Survivor Overclocked,
3ds,78,https://www.metacritic.com/game/3ds/new-super-mario-bros-2,7.2,2012-08-19,New Super Mario Bros. 2,
3ds,78,https://www.metacritic.com/game/3ds/style-savvy-fashion-forward,6.9,2016-08-19,Style Savvy: Fashion Forward,
3ds,77,https://www.metacritic.com/game/3ds/tom-clancys-ghost-recon-shadow-wars,7.9,2011-03-22,Tom Clancy's Ghost Recon: Shadow Wars,
3ds,77,https://www.metacritic.com/game/3ds/kokuga,7.5,2013-06-27,Kokuga,
3ds,77,https://www.metacritic.com/game/3ds/mega-man-legacy-collection,8.8,2016-02-23,Mega Man Legacy Collection,
3ds,77,https://www.metacritic.com/game/3ds/etrian-mystery-dungeon,8,2015-04-07,Etrian Mystery Dungeon,
3ds,77,https://www.metacritic.com/game/3ds/apollo-justice-ace-attorney,8.1,2017-11-21,Apollo Justice: Ace Attorney,
3ds,77,https://www.metacritic.com/game/3ds/inazuma-eleven-go-chrono-stones-thunderflash,7.8,2015-03-27,Inazuma Eleven Go: Chrono Stones: Thunderflash,
3ds,77,https://www.metacritic.com/game/3ds/corpse-party,7.8,2016-10-25,Corpse Party,
3ds,77,https://www.metacritic.com/game/3ds/3d-classics-kid-icarus,7.4,2012-03-23,3D Classics: Kid Icarus,
3ds,77,https://www.metacritic.com/game/3ds/azure-striker-gunvolt,8.1,2014-08-29,Azure Striker Gunvolt,
3ds,77,https://www.metacritic.com/game/3ds/super-little-acorns-3d-turbo,7,2013-04-18,Super Little Acorns 3D Turbo,
3ds,77,https://www.metacritic.com/game/3ds/poochy-yoshis-woolly-world,7.9,2017-02-03,Poochy & Yoshi's Woolly World,
3ds,77,https://www.metacritic.com/game/3ds/tappingo-2,7.4,2014-09-04,Tappingo 2,
3ds,77,https://www.metacritic.com/game/3ds/3d-classics-kirbys-adventure,7.9,2011-11-17,3D Classics: Kirby's Adventure,
3ds,77,https://www.metacritic.com/game/3ds/inazuma-eleven-go-chrono-stones-wildfire,7.7,2015-03-27,Inazuma Eleven Go: Chrono Stones: Wildfire,
3ds,77,https://www.metacritic.com/game/3ds/the-keep,7.9,2014-09-11,The Keep,
3ds,77,https://www.metacritic.com/game/3ds/attack-of-the-friday-monsters!-a-tokyo-tale,7.6,2013-07-18,Attack of the Friday Monsters! A Tokyo Tale,
3ds,76,https://www.metacritic.com/game/3ds/pokemon-art-academy,7.7,2014-10-24,Pokemon Art Academy,
3ds,76,https://www.metacritic.com/game/3ds/ketzals-corridors,7.6,2012-04-12,Ketzal's Corridors,
3ds,76,https://www.metacritic.com/game/3ds/yo-kai-watch,8,2015-11-06,Yo-kai Watch,
3ds,76,https://www.metacritic.com/game/3ds/mario-luigi-paper-jam,7.6,2016-01-22,Mario & Luigi: Paper Jam,
3ds,76,https://www.metacritic.com/game/3ds/the-denpa-men-2-beyond-the-waves,6.4,2013-05-30,The Denpa Men 2: Beyond the Waves,
3ds,76,https://www.metacritic.com/game/3ds/azure-striker-gunvolt-2,8.2,2016-09-29,Azure Striker Gunvolt 2,
3ds,76,https://www.metacritic.com/game/3ds/ever-oasis,8.1,2017-06-23,Ever Oasis,
3ds,76,https://www.metacritic.com/game/3ds/rhythm-thief-the-emperors-treasure,8,2012-07-10,Rhythm Thief & the Emperor's Treasure,
3ds,76,https://www.metacritic.com/game/3ds/7th-dragon-iii-code-vfd,7.8,2016-07-12,7th Dragon III Code: VFD,
3ds,76,https://www.metacritic.com/game/3ds/crimson-shroud,8,2012-12-13,Crimson Shroud,
3ds,76,https://www.metacritic.com/game/3ds/story-of-seasons,7.9,2015-03-31,Story of Seasons,
3ds,75,https://www.metacritic.com/game/3ds/tales-of-the-abyss,8.3,2012-02-14,Tales of the Abyss,
3ds,75,https://www.metacritic.com/game/3ds/paper-mario-sticker-star,5.6,2012-11-11,Paper Mario: Sticker Star,
3ds,75,https://www.metacritic.com/game/3ds/kingdom-hearts-3d-dream-drop-distance,8.4,2012-06-05,Kingdom Hearts 3D: Dream Drop Distance,
3ds,75,https://www.metacritic.com/game/3ds/bittrip-saga,7.9,2011-09-13,Bit.Trip Saga,
3ds,75,https://www.metacritic.com/game/3ds/inazuma-eleven-go-shadow,7.1,2014-06-13,Inazuma Eleven Go: Shadow,
3ds,75,https://www.metacritic.com/game/3ds/ridge-racer-3d,7.4,2011-03-22,Ridge Racer 3D,
3ds,75,https://www.metacritic.com/game/3ds/nano-assault,7.7,2011-12-05,Nano Assault,
3ds,75,https://www.metacritic.com/game/3ds/the-denpa-men-3-the-rise-of-digitoll,7.9,2014-05-08,The Denpa Men 3: The Rise of Digitoll,
3ds,75,https://www.metacritic.com/game/3ds/pokemon-picross,7.5,2015-12-03,Pokemon Picross,
3ds,75,https://www.metacritic.com/game/3ds/escapevektor,7.6,2012-12-20,escapeVektor,
3ds,75,https://www.metacritic.com/game/3ds/nightsky,7.6,2012-10-25,NightSky,
3ds,75,https://www.metacritic.com/game/3ds/hakuoki-memories-of-the-shinsengumi,7.6,2013-09-19,Hakuoki: Memories of the Shinsengumi,
3ds,74,https://www.metacritic.com/game/3ds/inazuma-eleven-go-light,7.6,2014-06-13,Inazuma Eleven Go: Light,
3ds,74,https://www.metacritic.com/game/3ds/tetris-axis,7.1,2011-10-02,Tetris Axis,
3ds,74,https://www.metacritic.com/game/3ds/the-alliance-alive,8.1,2018-03-27,The Alliance Alive,
3ds,74,https://www.metacritic.com/game/3ds/story-of-seasons-trio-of-towns,8.1,2017-02-28,Story of Seasons: Trio of Towns,
3ds,74,https://www.metacritic.com/game/3ds/harvest-moon-3d-a-new-beginning,7.7,2012-11-06,Harvest Moon 3D: A New Beginning,
3ds,74,https://www.metacritic.com/game/3ds/3d-thunder-blade,7.1,2015-05-14,3D Thunder Blade,
3ds,74,https://www.metacritic.com/game/3ds/nano-assault-ex,7.6,2013-03-07,Nano Assault EX,
3ds,74,https://www.metacritic.com/game/3ds/luigis-mansion,8,2018-10-12,Luigi's Mansion,
3ds,74,https://www.metacritic.com/game/3ds/yumis-odd-odyssey,7.7,2014-03-20,Yumi's Odd Odyssey,
3ds,74,https://www.metacritic.com/game/3ds/shin-megami-tensei-devil-summoner---soul-hackers,3.9,2013-04-16,Shin Megami Tensei: Devil Summoner - Soul Hackers,
3ds,74,https://www.metacritic.com/game/3ds/sakura-samurai-art-of-the-sword,7.3,2012-02-02,Sakura Samurai: Art of the Sword,
3ds,74,https://www.metacritic.com/game/3ds/marvel-pinball-3d,7.7,2012-06-28,Marvel Pinball 3D,
3ds,74,https://www.metacritic.com/game/3ds/culdcept-revolt,7.6,2017-10-03,Culdcept Revolt,
3ds,73,https://www.metacritic.com/game/3ds/super-mario-maker-for-nintendo-3ds,6.3,2016-12-02,Super Mario Maker for Nintendo 3DS,
3ds,73,https://www.metacritic.com/game/3ds/chicken-wiggle,6.6,2017-08-17,Chicken Wiggle,
3ds,73,https://www.metacritic.com/game/3ds/yo-kai-watch-2-psychic-specters,8.1,2017-09-29,Yo-kai Watch 2: Psychic Specters,
3ds,73,https://www.metacritic.com/game/3ds/sega-3d-classics-collection,7.5,2016-04-26,Sega 3D Classics Collection,
3ds,73,https://www.metacritic.com/game/3ds/xeodrifter,6.7,2014-12-11,Xeodrifter,
