title,platform,score,releaseDate,link
"Pinball FX 2: Star Wars Pinball","xbox360",87,"2013-02-27","https://www.metacritic.com/game/xbox-360/pinball-fx-2-star-wars-pinball"
"Pinball Hall of Fame - The Gottlieb Collection","xbox",70,"2004-11-18","https://www.metacritic.com/game/xbox/pinball-hall-of-fame---the-gottlieb-collection"
"Pinball Hall of Fame: The Williams Collection","ps3",82,"2009-09-22","https://www.metacritic.com/game/playstation-3/pinball-hall-of-fame-the-williams-collection"
"Pinball Hall of Fame: The Williams Collection","wii",82,"2008-02-26","https://www.metacritic.com/game/wii/pinball-hall-of-fame-the-williams-collection"
"Pinball Hall of Fame: The Williams Collection","xbox360",83,"2009-09-22","https://www.metacritic.com/game/xbox-360/pinball-hall-of-fame-the-williams-collection"
"Pirates: The Legend of Black Kat","ps2",72,"2002-02-17","https://www.metacritic.com/game/playstation-2/pirates-the-legend-of-black-kat"
"Pirates: The Legend of Black Kat","xbox",74,"2002-03-24","https://www.metacritic.com/game/xbox/pirates-the-legend-of-black-kat"
"Pitfall: The Lost Expedition","ps2",70,"2004-02-18","https://www.metacritic.com/game/playstation-2/pitfall-the-lost-expedition"
"Pitfall: The Lost Expedition","xbox",73,"2004-02-18","https://www.metacritic.com/game/xbox/pitfall-the-lost-expedition"
"PixelJunk Eden","ps3",80,"2008-07-31","https://www.metacritic.com/game/playstation-3/pixeljunk-eden"
"PixelJunk Monsters","ps3",83,"2008-01-24","https://www.metacritic.com/game/playstation-3/pixeljunk-monsters"
"PixelJunk Monsters Encore","ps3",82,"2008-05-08","https://www.metacritic.com/game/playstation-3/pixeljunk-monsters-encore"
"PixelJunk Shooter","ps3",87,"2009-12-10","https://www.metacritic.com/game/playstation-3/pixeljunk-shooter"
"PixelJunk Shooter 2","ps3",82,"2011-03-01","https://www.metacritic.com/game/playstation-3/pixeljunk-shooter-2"
"PixelJunk SideScroller","ps3",76,"2011-10-25","https://www.metacritic.com/game/playstation-3/pixeljunk-sidescroller"
"Piyotama","ps3",70,"2007-08-09","https://www.metacritic.com/game/playstation-3/piyotama"
"Plants vs. Zombies","ps3",85,"2011-02-08","https://www.metacritic.com/game/playstation-3/plants-vs-zombies"
"Plants vs. Zombies","xbox360",89,"2010-09-08","https://www.metacritic.com/game/xbox-360/plants-vs-zombies"
"PlayStation All-Stars Battle Royale","ps3",74,"2012-11-20","https://www.metacritic.com/game/playstation-3/playstation-all-stars-battle-royale"
"Pokemon Rumble U","wiiu",49,"2013-08-29","https://www.metacritic.com/game/wii-u/pokemon-rumble-u"
"Poker Smash","xbox360",81,"2008-02-06","https://www.metacritic.com/game/xbox-360/poker-smash"
"Pokken Tournament","wiiu",76,"2016-03-18","https://www.metacritic.com/game/wii-u/pokken-tournament"
"Pool Nation","ps3",81,"2013-06-25","https://www.metacritic.com/game/playstation-3/pool-nation"
"Pool Nation","xbox360",79,"2012-10-31","https://www.metacritic.com/game/xbox-360/pool-nation"
"Pool Paradise","ps2",77,"2004-07-13","https://www.metacritic.com/game/playstation-2/pool-paradise"
"Portal 2","ps3",95,"2011-04-19","https://www.metacritic.com/game/playstation-3/portal-2"
"Portal 2","xbox360",95,"2011-04-19","https://www.metacritic.com/game/xbox-360/portal-2"
"Portal: Still Alive","xbox360",90,"2008-10-22","https://www.metacritic.com/game/xbox-360/portal-still-alive"
"Powerdrome","xbox",69,"2004-06-16","https://www.metacritic.com/game/xbox/powerdrome"
"Prey","xbox360",79,"2006-07-11","https://www.metacritic.com/game/xbox-360/prey"
"Pride FC: Fighting Championships","ps2",73,"2003-02-11","https://www.metacritic.com/game/playstation-2/pride-fc-fighting-championships"
"Primal","ps2",73,"2003-03-25","https://www.metacritic.com/game/playstation-2/primal"
"Prince of Persia","ps3",85,"2008-12-02","https://www.metacritic.com/game/playstation-3/prince-of-persia"
"Prince of Persia","xbox360",81,"2008-12-02","https://www.metacritic.com/game/xbox-360/prince-of-persia"
"Prince of Persia Classic","xbox360",82,"2007-06-13","https://www.metacritic.com/game/xbox-360/prince-of-persia-classic"
"Prince of Persia Classic Trilogy HD","ps3",81,"2011-04-19","https://www.metacritic.com/game/playstation-3/prince-of-persia-classic-trilogy-hd"
"Prince of Persia: Rival Swords","wii",70,"2007-04-03","https://www.metacritic.com/game/wii/prince-of-persia-rival-swords"
"Prince of Persia: The Forgotten Sands","ps3",75,"2010-05-18","https://www.metacritic.com/game/playstation-3/prince-of-persia-the-forgotten-sands"
"Prince of Persia: The Forgotten Sands","wii",77,"2010-05-18","https://www.metacritic.com/game/wii/prince-of-persia-the-forgotten-sands"
"Prince of Persia: The Sands of Time","xbox",92,"2003-11-12","https://www.metacritic.com/game/xbox/prince-of-persia-the-sands-of-time"
"Prince of Persia: The Two Thrones","xbox",85,"2005-12-01","https://www.metacritic.com/game/xbox/prince-of-persia-the-two-thrones"
"Prince of Persia: Warrior Within","xbox",83,"2004-11-30","https://www.metacritic.com/game/xbox/prince-of-persia-warrior-within"
"Pro Evolution Soccer 2008","ps3",74,"2008-03-11","https://www.metacritic.com/game/playstation-3/pro-evolution-soccer-2008"
"Pro Evolution Soccer 2008","wii",83,"2008-03-18","https://www.metacritic.com/game/wii/pro-evolution-soccer-2008"
"Pro Evolution Soccer 2009","ps3",77,"2009-03-17","https://www.metacritic.com/game/playstation-3/pro-evolution-soccer-2009"
"Pro Evolution Soccer 2009","wii",84,"2009-03-17","https://www.metacritic.com/game/wii/pro-evolution-soccer-2009"
"Pro Evolution Soccer 2010","ps3",78,"2009-11-03","https://www.metacritic.com/game/playstation-3/pro-evolution-soccer-2010"
"Pro Evolution Soccer 2010","wii",82,"2009-11-10","https://www.metacritic.com/game/wii/pro-evolution-soccer-2010"
"Pro Evolution Soccer 2010","xbox360",78,"2009-11-03","https://www.metacritic.com/game/xbox-360/pro-evolution-soccer-2010"
"Pro Evolution Soccer 2011","ps3",77,"2010-10-19","https://www.metacritic.com/game/playstation-3/pro-evolution-soccer-2011"
"Pro Evolution Soccer 2011","wii",78,"2010-11-23","https://www.metacritic.com/game/wii/pro-evolution-soccer-2011"
"Pro Evolution Soccer 2011","xbox360",79,"2010-10-19","https://www.metacritic.com/game/xbox-360/pro-evolution-soccer-2011"
"Pro Evolution Soccer 2012","ps3",80,"2011-09-27","https://www.metacritic.com/game/playstation-3/pro-evolution-soccer-2012"
"Pro Evolution Soccer 2012","wii",79,"2011-11-15","https://www.metacritic.com/game/wii/pro-evolution-soccer-2012"
"Pro Evolution Soccer 2012","xbox360",78,"2011-09-27","https://www.metacritic.com/game/xbox-360/pro-evolution-soccer-2012"
"Pro Evolution Soccer 2013","ps3",82,"2012-09-25","https://www.metacritic.com/game/playstation-3/pro-evolution-soccer-2013"
"Pro Evolution Soccer 2013","xbox360",82,"2012-09-25","https://www.metacritic.com/game/xbox-360/pro-evolution-soccer-2013"
"Pro Evolution Soccer 2014","ps3",78,"2013-09-24","https://www.metacritic.com/game/playstation-3/pro-evolution-soccer-2014"
"Pro Evolution Soccer 2014","xbox360",80,"2013-09-24","https://www.metacritic.com/game/xbox-360/pro-evolution-soccer-2014"
"Pro Race Driver","xbox",80,"2003-04-16","https://www.metacritic.com/game/xbox/pro-race-driver"
"Project Eden","ps2",71,"2001-10-22","https://www.metacritic.com/game/playstation-2/project-eden"
"Project Gotham Racing","xbox",85,"2001-11-14","https://www.metacritic.com/game/xbox/project-gotham-racing"
"Project Gotham Racing 2","xbox",90,"2003-11-17","https://www.metacritic.com/game/xbox/project-gotham-racing-2"
"Project Gotham Racing 3","xbox360",88,"2005-11-16","https://www.metacritic.com/game/xbox-360/project-gotham-racing-3"
"Project Gotham Racing 4","xbox360",85,"2007-10-02","https://www.metacritic.com/game/xbox-360/project-gotham-racing-4"
"Project Zero 2: Wii Edition","wii",77,"2012-06-29","https://www.metacritic.com/game/wii/project-zero-2-wii-edition"
"Project: Snowblind","ps2",78,"2005-02-23","https://www.metacritic.com/game/playstation-2/project-snowblind"
"Project: Snowblind","xbox",79,"2005-02-23","https://www.metacritic.com/game/xbox/project-snowblind"
"Proteus","ps3",72,"2013-10-29","https://www.metacritic.com/game/playstation-3/proteus"
"Prototype","ps3",79,"2009-06-09","https://www.metacritic.com/game/playstation-3/prototype"
"Prototype","xbox360",78,"2009-06-09","https://www.metacritic.com/game/xbox-360/prototype"
"Prototype 2","ps3",79,"2012-04-24","https://www.metacritic.com/game/playstation-3/prototype-2"
"Psi-Ops: The Mindgate Conspiracy","xbox",84,"2004-06-14","https://www.metacritic.com/game/xbox/psi-ops-the-mindgate-conspiracy"
"Psychonauts","xbox",88,"2005-04-19","https://www.metacritic.com/game/xbox/psychonauts"
"Puddle","ps3",71,"2012-01-25","https://www.metacritic.com/game/playstation-3/puddle"
"Puddle","wiiu",70,"2013-01-31","https://www.metacritic.com/game/wii-u/puddle"
"Pump It Up: Exceed","ps2",73,"2005-08-29","https://www.metacritic.com/game/playstation-2/pump-it-up-exceed"
"Pump It Up: Exceed","xbox",74,"2005-08-29","https://www.metacritic.com/game/xbox/pump-it-up-exceed"
"Punch-Out!!","wii",86,"2009-05-18","https://www.metacritic.com/game/wii/punch-out!!"
"Puppeteer","ps3",80,"2013-09-10","https://www.metacritic.com/game/playstation-3/puppeteer"
"Pure","ps3",83,"2008-09-23","https://www.metacritic.com/game/playstation-3/pure"
"Pure","xbox360",85,"2008-09-23","https://www.metacritic.com/game/xbox-360/pure"
"Pure Chess","wiiu",61,"2014-03-20","https://www.metacritic.com/game/wii-u/pure-chess"
"Pure Pinball","xbox",68,"2004-08-05","https://www.metacritic.com/game/xbox/pure-pinball"
"Pushmo World","wiiu",80,"2014-06-19","https://www.metacritic.com/game/wii-u/pushmo-world"
"Puzzle Dimension","ps3",79,"2011-06-28","https://www.metacritic.com/game/playstation-3/puzzle-dimension"
"Puzzle Quest 2","xbox360",81,"2010-06-30","https://www.metacritic.com/game/xbox-360/puzzle-quest-2"
"Puzzle Quest: Challenge of the Warlords","ps2",78,"2007-11-13","https://www.metacritic.com/game/playstation-2/puzzle-quest-challenge-of-the-warlords"
"Puzzle Quest: Challenge of the Warlords","wii",71,"2007-11-30","https://www.metacritic.com/game/wii/puzzle-quest-challenge-of-the-warlords"
"Puzzle Quest: Challenge of the Warlords","xbox360",87,"2007-10-10","https://www.metacritic.com/game/xbox-360/puzzle-quest-challenge-of-the-warlords"
"Puzzle Quest: Galactrix","ps3",72,"2009-05-07","https://www.metacritic.com/game/playstation-3/puzzle-quest-galactrix"
"Q.U.B.E. Director's Cut","wiiu",68,"2015-09-10","https://www.metacritic.com/game/wii-u/qube-directors-cut"
"Quantum Conundrum","ps3",79,"2012-07-10","https://www.metacritic.com/game/playstation-3/quantum-conundrum"
"Quantum Redshift","xbox",70,"2002-09-16","https://www.metacritic.com/game/xbox/quantum-redshift"
"Quarrel","xbox360",79,"2012-01-25","https://www.metacritic.com/game/xbox-360/quarrel"
"R.U.S.E.","ps3",76,"2010-09-07","https://www.metacritic.com/game/playstation-3/ruse"
"R.U.S.E.","xbox360",78,"2010-09-07","https://www.metacritic.com/game/xbox-360/ruse"
"Rabbids Go Home","wii",78,"2009-11-01","https://www.metacritic.com/game/wii/rabbids-go-home"
"Rabbids Land","wiiu",52,"2012-11-18","https://www.metacritic.com/game/wii-u/rabbids-land"
"Radiant Silvergun","xbox360",86,"2011-09-14","https://www.metacritic.com/game/xbox-360/radiant-silvergun"
"Radiata Stories","ps2",74,"2005-09-06","https://www.metacritic.com/game/playstation-2/radiata-stories"
"Rag Doll Kung Fu: Fists of Plastic","ps3",68,"2009-04-09","https://www.metacritic.com/game/playstation-3/rag-doll-kung-fu-fists-of-plastic"
"RAGE","ps3",81,"2011-10-04","https://www.metacritic.com/game/playstation-3/rage"
"RAGE","xbox360",81,"2011-10-04","https://www.metacritic.com/game/xbox-360/rage"
"Rage of the Gladiator","wii",81,"2010-03-15","https://www.metacritic.com/game/wii/rage-of-the-gladiator"
"rain","ps3",72,"2013-10-01","https://www.metacritic.com/game/playstation-3/rain"
"Rainbow Moon","ps3",70,"2012-07-10","https://www.metacritic.com/game/playstation-3/rainbow-moon"
"Rallisport Challenge","xbox",87,"2002-03-04","https://www.metacritic.com/game/xbox/rallisport-challenge"
"Rallisport Challenge 2","xbox",87,"2004-05-04","https://www.metacritic.com/game/xbox/rallisport-challenge-2"
"Rally Fusion: Race of Champions","ps2",73,"2002-11-11","https://www.metacritic.com/game/playstation-2/rally-fusion-race-of-champions"
"Rally Fusion: Race of Champions","xbox",69,"2002-11-29","https://www.metacritic.com/game/xbox/rally-fusion-race-of-champions"
"Ratchet & Clank Collection","ps3",83,"2012-08-28","https://www.metacritic.com/game/playstation-3/ratchet-clank-collection"
"Ratchet & Clank Future: A Crack in Time","ps3",87,"2009-10-27","https://www.metacritic.com/game/playstation-3/ratchet-clank-future-a-crack-in-time"
"Ratchet & Clank Future: Quest for Booty","ps3",76,"2008-08-21","https://www.metacritic.com/game/playstation-3/ratchet-clank-future-quest-for-booty"
"Ratchet & Clank Future: Tools of Destruction","ps3",89,"2007-10-23","https://www.metacritic.com/game/playstation-3/ratchet-clank-future-tools-of-destruction"
"Ratchet & Clank: All 4 One","ps3",70,"2011-10-18","https://www.metacritic.com/game/playstation-3/ratchet-clank-all-4-one"
"Ratchet & Clank: Into the Nexus","ps3",76,"2013-11-12","https://www.metacritic.com/game/playstation-3/ratchet-clank-into-the-nexus"
"Rayman 3 HD","ps3",72,"2012-03-20","https://www.metacritic.com/game/playstation-3/rayman-3-hd"
"Rayman 3: Hoodlum Havoc","ps2",76,"2003-03-17","https://www.metacritic.com/game/playstation-2/rayman-3-hoodlum-havoc"
"Rayman 3: Hoodlum Havoc","xbox",75,"2003-03-18","https://www.metacritic.com/game/xbox/rayman-3-hoodlum-havoc"
"Rayman Legends","ps3",91,"2013-09-03","https://www.metacritic.com/game/playstation-3/rayman-legends"
"Rayman Legends","wiiu",92,"2013-09-03","https://www.metacritic.com/game/wii-u/rayman-legends"
"Rayman Legends","xbox360",90,"2013-09-03","https://www.metacritic.com/game/xbox-360/rayman-legends"
"Rayman Origins","ps3",87,"2011-11-15","https://www.metacritic.com/game/playstation-3/rayman-origins"
"Rayman Origins","wii",92,"2011-11-15","https://www.metacritic.com/game/wii/rayman-origins"
"Rayman Origins","xbox360",87,"2011-11-15","https://www.metacritic.com/game/xbox-360/rayman-origins"
"Rayman Raving Rabbids","wii",76,"2006-11-14","https://www.metacritic.com/game/wii/rayman-raving-rabbids"
"Rayman Raving Rabbids: TV Party","wii",73,"2008-11-18","https://www.metacritic.com/game/wii/rayman-raving-rabbids-tv-party"
"Raze's Hell","xbox",71,"2005-04-21","https://www.metacritic.com/game/xbox/razes-hell"
"Ready 2 Rumble Boxing: Round 2","ps2",75,"2000-10-23","https://www.metacritic.com/game/playstation-2/ready-2-rumble-boxing-round-2"
"Real World Golf","ps2",73,"2006-04-11","https://www.metacritic.com/game/playstation-2/real-world-golf"
"Real World Golf","xbox",74,"2006-04-11","https://www.metacritic.com/game/xbox/real-world-golf"
"Record of Agarest War","ps3",67,"2010-04-27","https://www.metacritic.com/game/playstation-3/record-of-agarest-war"
"Red Dead Redemption","ps3",95,"2010-05-18","https://www.metacritic.com/game/playstation-3/red-dead-redemption"
"Red Dead Redemption","xbox360",95,"2010-05-18","https://www.metacritic.com/game/xbox-360/red-dead-redemption"
"Red Dead Redemption: Liars and Cheats","ps3",80,"2010-09-21","https://www.metacritic.com/game/playstation-3/red-dead-redemption-liars-and-cheats"
"Red Dead Redemption: Liars and Cheats","xbox360",77,"2010-09-21","https://www.metacritic.com/game/xbox-360/red-dead-redemption-liars-and-cheats"
"Red Dead Redemption: Undead Nightmare Pack","ps3",87,"2010-10-26","https://www.metacritic.com/game/playstation-3/red-dead-redemption-undead-nightmare-pack"
"Red Dead Redemption: Undead Nightmare Pack","xbox360",87,"2010-10-26","https://www.metacritic.com/game/xbox-360/red-dead-redemption-undead-nightmare-pack"
"Red Dead Revolver","ps2",73,"2004-05-03","https://www.metacritic.com/game/playstation-2/red-dead-revolver"
"Red Dead Revolver","xbox",74,"2004-05-03","https://www.metacritic.com/game/xbox/red-dead-revolver"
"Red Faction II","xbox",74,"2003-03-31","https://www.metacritic.com/game/xbox/red-faction-ii"
"Red Faction: Armageddon","ps3",71,"2011-06-07","https://www.metacritic.com/game/playstation-3/red-faction-armageddon"
"Red Faction: Guerrilla","ps3",85,"2009-06-02","https://www.metacritic.com/game/playstation-3/red-faction-guerrilla"
"Red Faction: Guerrilla","xbox360",85,"2009-06-02","https://www.metacritic.com/game/xbox-360/red-faction-guerrilla"
"Red Steel 2","wii",80,"2010-03-23","https://www.metacritic.com/game/wii/red-steel-2"
"RedCard 20-03","ps2",73,"2002-04-16","https://www.metacritic.com/game/playstation-2/redcard-20-03"
"Remember Me","ps3",72,"2013-06-04","https://www.metacritic.com/game/playstation-3/remember-me"
"Renegade Ops","ps3",80,"2011-09-13","https://www.metacritic.com/game/playstation-3/renegade-ops"
"Renegade Ops","xbox360",81,"2011-09-14","https://www.metacritic.com/game/xbox-360/renegade-ops"
"Resident Evil 4 HD","ps3",84,"2011-09-20","https://www.metacritic.com/game/playstation-3/resident-evil-4-hd"
"Resident Evil 4 HD","xbox360",84,"2011-09-20","https://www.metacritic.com/game/xbox-360/resident-evil-4-hd"
"Resident Evil 4: Wii Edition","wii",91,"2007-06-19","https://www.metacritic.com/game/wii/resident-evil-4-wii-edition"
"Resident Evil 5","ps3",84,"2009-03-13","https://www.metacritic.com/game/playstation-3/resident-evil-5"
"Resident Evil 5","xbox360",83,"2009-03-13","https://www.metacritic.com/game/xbox-360/resident-evil-5"
"Resident Evil 5: Desperate Escape","ps3",73,"2010-03-04","https://www.metacritic.com/game/playstation-3/resident-evil-5-desperate-escape"
"Resident Evil 5: Lost in Nightmares","ps3",81,"2010-02-18","https://www.metacritic.com/game/playstation-3/resident-evil-5-lost-in-nightmares"
"Resident Evil 5: Lost in Nightmares","xbox360",79,"2010-02-17","https://www.metacritic.com/game/xbox-360/resident-evil-5-lost-in-nightmares"
"Resident Evil 6","ps3",74,"2012-10-02","https://www.metacritic.com/game/playstation-3/resident-evil-6"
"Resident Evil Archives: Resident Evil","wii",76,"2009-06-23","https://www.metacritic.com/game/wii/resident-evil-archives-resident-evil"
"Resident Evil Outbreak","ps2",71,"2004-03-31","https://www.metacritic.com/game/playstation-2/resident-evil-outbreak"
"Resident Evil: Chronicles HD Collection","ps3",70,"2012-06-26","https://www.metacritic.com/game/playstation-3/resident-evil-chronicles-hd-collection"
"Resident Evil: Revelations","ps3",74,"2013-05-21","https://www.metacritic.com/game/playstation-3/resident-evil-revelations"
"Resident Evil: Revelations","wiiu",80,"2013-05-21","https://www.metacritic.com/game/wii-u/resident-evil-revelations"
"Resident Evil: The Darkside Chronicles","wii",75,"2009-11-17","https://www.metacritic.com/game/wii/resident-evil-the-darkside-chronicles"
"Resident Evil: The Umbrella Chronicles","wii",75,"2007-11-13","https://www.metacritic.com/game/wii/resident-evil-the-umbrella-chronicles"
"Resistance 2","ps3",87,"2008-11-04","https://www.metacritic.com/game/playstation-3/resistance-2"
"Resistance 3","ps3",83,"2011-09-06","https://www.metacritic.com/game/playstation-3/resistance-3"
"Resistance: Fall of Man","ps3",86,"2006-11-14","https://www.metacritic.com/game/playstation-3/resistance-fall-of-man"
"Resonance of Fate","ps3",72,"2010-03-16","https://www.metacritic.com/game/playstation-3/resonance-of-fate"
"Retro City Rampage","ps3",71,"2012-10-09","https://www.metacritic.com/game/playstation-3/retro-city-rampage"
"Retro/Grade","ps3",78,"2012-08-21","https://www.metacritic.com/game/playstation-3/retrograde"
"Return to Castle Wolfenstein: Tides of War","xbox",84,"2003-05-06","https://www.metacritic.com/game/xbox/return-to-castle-wolfenstein-tides-of-war"
"Rez","ps2",78,"2002-01-07","https://www.metacritic.com/game/playstation-2/rez"
"Rez HD","xbox360",89,"2008-01-30","https://www.metacritic.com/game/xbox-360/rez-hd"
"Rhythm Heaven Fever","wii",83,"2012-02-13","https://www.metacritic.com/game/wii/rhythm-heaven-fever"
"Ridge Racer 7","ps3",78,"2006-11-13","https://www.metacritic.com/game/playstation-3/ridge-racer-7"
"Ridge Racer Unbounded","ps3",72,"2012-03-27","https://www.metacritic.com/game/playstation-3/ridge-racer-unbounded"
"Ridge Racer V","ps2",78,"2000-10-25","https://www.metacritic.com/game/playstation-2/ridge-racer-v"
"Rise of the Kasai","ps2",68,"2005-04-05","https://www.metacritic.com/game/playstation-2/rise-of-the-kasai"
"Rise to Honor","ps2",68,"2004-02-17","https://www.metacritic.com/game/playstation-2/rise-to-honor"
"RISK: Factions","xbox360",77,"2010-06-23","https://www.metacritic.com/game/xbox-360/risk-factions"
"RoadKill","ps2",71,"2003-10-13","https://www.metacritic.com/game/playstation-2/roadkill"
"RoadKill","xbox",68,"2003-10-13","https://www.metacritic.com/game/xbox/roadkill"
"Robert Ludlum's The Bourne Conspiracy","ps3",70,"2008-06-03","https://www.metacritic.com/game/playstation-3/robert-ludlums-the-bourne-conspiracy"
"Robot Alchemic Drive","ps2",79,"2002-11-04","https://www.metacritic.com/game/playstation-2/robot-alchemic-drive"
"Robotech: Battlecry","ps2",72,"2002-09-25","https://www.metacritic.com/game/playstation-2/robotech-battlecry"
"Robotech: Battlecry","xbox",74,"2002-09-25","https://www.metacritic.com/game/xbox/robotech-battlecry"
"Rochard","ps3",79,"2011-09-27","https://www.metacritic.com/game/playstation-3/rochard"
"Rock Band","ps3",92,"2007-11-20","https://www.metacritic.com/game/playstation-3/rock-band"
"Rock Band","wii",80,"2008-06-22","https://www.metacritic.com/game/wii/rock-band"
"Rock Band","xbox360",92,"2007-11-20","https://www.metacritic.com/game/xbox-360/rock-band"
"Rock Band 2","ps3",91,"2008-10-19","https://www.metacritic.com/game/playstation-3/rock-band-2"
"Rock Band 2","wii",92,"2008-12-18","https://www.metacritic.com/game/wii/rock-band-2"
"Rock Band 2","xbox360",92,"2008-09-14","https://www.metacritic.com/game/xbox-360/rock-band-2"
"Rock Band 3","ps3",91,"2010-10-26","https://www.metacritic.com/game/playstation-3/rock-band-3"
"Rock Band 3","wii",91,"2010-10-26","https://www.metacritic.com/game/wii/rock-band-3"
"Rock Band 3","xbox360",93,"2010-10-26","https://www.metacritic.com/game/xbox-360/rock-band-3"
"Rock Band Blitz","ps3",78,"2012-08-28","https://www.metacritic.com/game/playstation-3/rock-band-blitz"
"Rock Band Blitz","xbox360",78,"2012-08-29","https://www.metacritic.com/game/xbox-360/rock-band-blitz"
"Rock of Ages","ps3",68,"2012-05-15","https://www.metacritic.com/game/playstation-3/rock-of-ages"
"Rocket Knight","ps3",70,"2010-05-18","https://www.metacritic.com/game/playstation-3/rocket-knight"
"Rocket Riot","xbox360",80,"2009-06-17","https://www.metacritic.com/game/xbox-360/rocket-riot"
"Rocketbirds: Hardboiled Chicken","ps3",74,"2011-10-18","https://www.metacritic.com/game/playstation-3/rocketbirds-hardboiled-chicken"
"Rocksmith","ps3",80,"2011-10-18","https://www.metacritic.com/game/playstation-3/rocksmith"
"Rocksmith","xbox360",77,"2011-10-18","https://www.metacritic.com/game/xbox-360/rocksmith"
"Rocksmith 2014 Edition","ps3",86,"2013-10-22","https://www.metacritic.com/game/playstation-3/rocksmith-2014-edition"
"Rocksmith 2014 Edition","xbox360",87,"2013-10-22","https://www.metacritic.com/game/xbox-360/rocksmith-2014-edition"
"Rockstar Games presents Table Tennis","xbox360",81,"2006-05-22","https://www.metacritic.com/game/xbox-360/rockstar-games-presents-table-tennis"
"Rocky","ps2",74,"2002-11-18","https://www.metacritic.com/game/playstation-2/rocky"
"Rocky","xbox",74,"2002-11-17","https://www.metacritic.com/game/xbox/rocky"
"Rodea the Sky Soldier","wiiu",45,"2015-11-10","https://www.metacritic.com/game/wii-u/rodea-the-sky-soldier"
"Rogue Trooper","ps2",71,"2006-05-23","https://www.metacritic.com/game/playstation-2/rogue-trooper"
"Rogue Trooper","xbox",71,"2006-05-23","https://www.metacritic.com/game/xbox/rogue-trooper"
"Rogue Trooper: Quartz Zone Massacre","wii",70,"2009-12-04","https://www.metacritic.com/game/wii/rogue-trooper-quartz-zone-massacre"
"Romance of the Three Kingdoms IX","ps2",74,"2004-02-24","https://www.metacritic.com/game/playstation-2/romance-of-the-three-kingdoms-ix"
"Romance of the Three Kingdoms VII","ps2",72,"2002-06-25","https://www.metacritic.com/game/playstation-2/romance-of-the-three-kingdoms-vii"
"Romance of the Three Kingdoms VIII","ps2",77,"2003-08-13","https://www.metacritic.com/game/playstation-2/romance-of-the-three-kingdoms-viii"
"Romance of the Three Kingdoms X","ps2",71,"2005-06-21","https://www.metacritic.com/game/playstation-2/romance-of-the-three-kingdoms-x"
"Romance of the Three Kingdoms XI","ps2",69,"2007-02-06","https://www.metacritic.com/game/playstation-2/romance-of-the-three-kingdoms-xi"
"Roogoo","xbox360",78,"2008-06-04","https://www.metacritic.com/game/xbox-360/roogoo"
"Roving Rogue","wiiu",56,"2015-07-02","https://www.metacritic.com/game/wii-u/roving-rogue"
"RPG Maker 3","ps2",69,"2005-09-21","https://www.metacritic.com/game/playstation-2/rpg-maker-3"
"Rubik's Puzzle Galaxy: RUSH","wii",79,"2009-12-14","https://www.metacritic.com/game/wii/rubiks-puzzle-galaxy-rush"
"Rugby","ps2",73,"2001-07-16","https://www.metacritic.com/game/playstation-2/rugby"
"Rugby 06","xbox",76,"2006-02-14","https://www.metacritic.com/game/xbox/rugby-06"
"Rugby 08","ps2",74,"2007-07-17","https://www.metacritic.com/game/playstation-2/rugby-08"
"Rugby 2005","ps2",71,"2005-03-08","https://www.metacritic.com/game/playstation-2/rugby-2005"
"Rugby 2005","xbox",75,"2005-03-08","https://www.metacritic.com/game/xbox/rugby-2005"
"Runbow","wiiu",82,"2015-08-27","https://www.metacritic.com/game/wii-u/runbow"
"Rune Factory Frontier","wii",79,"2009-03-17","https://www.metacritic.com/game/wii/rune-factory-frontier"
"RUSH","wiiu",77,"2013-12-12","https://www.metacritic.com/game/wii-u/rush"
"Sacred 2: Fallen Angel","ps3",70,"2009-05-11","https://www.metacritic.com/game/playstation-3/sacred-2-fallen-angel"
"Saints Row","xbox360",81,"2006-08-29","https://www.metacritic.com/game/xbox-360/saints-row"
"Saints Row 2","ps3",82,"2008-10-14","https://www.metacritic.com/game/playstation-3/saints-row-2"
"Saints Row 2","xbox360",81,"2008-10-14","https://www.metacritic.com/game/xbox-360/saints-row-2"
"Saints Row IV","ps3",76,"2013-08-20","https://www.metacritic.com/game/playstation-3/saints-row-iv"
"Saints Row IV","xbox360",81,"2013-08-20","https://www.metacritic.com/game/xbox-360/saints-row-iv"
"Saints Row: The Third","ps3",82,"2011-11-15","https://www.metacritic.com/game/playstation-3/saints-row-the-third"
"Saints Row: The Third","xbox360",84,"2011-11-15","https://www.metacritic.com/game/xbox-360/saints-row-the-third"
"Sakura Wars: So Long, My Love","wii",75,"2010-03-30","https://www.metacritic.com/game/wii/sakura-wars-so-long-my-love"
"Sam & Max: Season One","wii",74,"2008-10-15","https://www.metacritic.com/game/wii/sam-max-season-one"
"Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone","ps3",81,"2010-04-15","https://www.metacritic.com/game/playstation-3/sam-max-the-devils-playhouse---episode-1-the-penal-zone"
"Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak","ps3",85,"2010-05-18","https://www.metacritic.com/game/playstation-3/sam-max-the-devils-playhouse---episode-2-the-tomb-of-sammun-mak"
"Samurai Warriors","ps2",73,"2004-05-06","https://www.metacritic.com/game/playstation-2/samurai-warriors"
"Samurai Warriors","xbox",71,"2004-07-13","https://www.metacritic.com/game/xbox/samurai-warriors"
