title,platform,score,releaseDate,link
"Dishonored: Dunwall City Trials","xbox360",73,"2012-12-11","https://www.metacritic.com/game/xbox-360/dishonored-dunwall-city-trials"
"Disney DuckTales Remastered","xbox360",70,"2013-09-11","https://www.metacritic.com/game/xbox-360/disney-ducktales-remastered"
"Disney Infinity","xbox360",74,"2013-08-18","https://www.metacritic.com/game/xbox-360/disney-infinity"
"Disney/Pixar Toy Story 3","xbox360",76,"2010-06-15","https://www.metacritic.com/game/xbox-360/disneypixar-toy-story-3"
"Divinity II: The Dragon Knight Saga","xbox360",72,"2011-04-12","https://www.metacritic.com/game/xbox-360/divinity-ii-the-dragon-knight-saga"
"Dragon Age II: Mark of the Assassin","xbox360",76,"2011-10-11","https://www.metacritic.com/game/xbox-360/dragon-age-ii-mark-of-the-assassin"
"Dragon Ball Z: Burst Limit","xbox360",72,"2008-06-10","https://www.metacritic.com/game/xbox-360/dragon-ball-z-burst-limit"
"Dragon's Dogma","xbox360",75,"2012-05-22","https://www.metacritic.com/game/xbox-360/dragons-dogma"
"Dragon's Dogma: Dark Arisen","xbox360",77,"2013-04-23","https://www.metacritic.com/game/xbox-360/dragons-dogma-dark-arisen"
"DreamWorks Kung Fu Panda","xbox360",75,"2008-06-03","https://www.metacritic.com/game/xbox-360/dreamworks-kung-fu-panda"
"Droplitz","xbox360",74,"2009-06-24","https://www.metacritic.com/game/xbox-360/droplitz"
"Dungeon Siege III","xbox360",72,"2011-06-21","https://www.metacritic.com/game/xbox-360/dungeon-siege-iii"
"Earth Defense Force 2017","xbox360",69,"2007-03-20","https://www.metacritic.com/game/xbox-360/earth-defense-force-2017"
"Earthworm Jim HD","xbox360",73,"2010-06-09","https://www.metacritic.com/game/xbox-360/earthworm-jim-hd"
"Easy Golf: Course Architect","xbox360",71,"2008-11-20","https://www.metacritic.com/game/xbox-360/easy-golf-course-architect"
"El Shaddai: Ascension of the Metatron","xbox360",75,"2011-08-16","https://www.metacritic.com/game/xbox-360/el-shaddai-ascension-of-the-metatron"
"Enchanted Arms","xbox360",69,"2006-08-29","https://www.metacritic.com/game/xbox-360/enchanted-arms"
"Exit","xbox360",75,"2007-10-24","https://www.metacritic.com/game/xbox-360/exit"
"F.E.A.R. 2: Project Origin","xbox360",77,"2009-02-10","https://www.metacritic.com/game/xbox-360/fear-2-project-origin"
"F.E.A.R. 3","xbox360",75,"2011-06-21","https://www.metacritic.com/game/xbox-360/fear-3"
"Fallout 3: The Pitt","xbox360",76,"2009-03-24","https://www.metacritic.com/game/xbox-360/fallout-3-the-pitt"
"Fallout: New Vegas - Dead Money","xbox360",70,"2010-12-21","https://www.metacritic.com/game/xbox-360/fallout-new-vegas---dead-money"
"FIFA 07 Soccer","xbox360",73,"2006-10-31","https://www.metacritic.com/game/xbox-360/fifa-07-soccer"
"FIFA Street","xbox360",77,"2012-03-13","https://www.metacritic.com/game/xbox-360/fifa-street"
"FIFA World Cup: Germany 2006","xbox360",72,"2006-04-24","https://www.metacritic.com/game/xbox-360/fifa-world-cup-germany-2006"
"Forza Horizon: Rally Expansion Pack","xbox360",76,"2012-12-18","https://www.metacritic.com/game/xbox-360/forza-horizon-rally-expansion-pack"
"Frontlines: Fuel of War","xbox360",75,"2008-02-25","https://www.metacritic.com/game/xbox-360/frontlines-fuel-of-war"
"Fruit Ninja Kinect","xbox360",71,"2011-08-10","https://www.metacritic.com/game/xbox-360/fruit-ninja-kinect"
"Full Auto","xbox360",70,"2006-02-14","https://www.metacritic.com/game/xbox-360/full-auto"
"Full House Poker","xbox360",77,"2011-03-16","https://www.metacritic.com/game/xbox-360/full-house-poker"
"Fusion: Genesis","xbox360",69,"2011-11-09","https://www.metacritic.com/game/xbox-360/fusion-genesis"
"Galaga Legions","xbox360",74,"2008-08-20","https://www.metacritic.com/game/xbox-360/galaga-legions"
"Galaga Legions DX","xbox360",74,"2011-06-29","https://www.metacritic.com/game/xbox-360/galaga-legions-dx"
"Garou: Mark of the Wolves","xbox360",77,"2009-06-24","https://www.metacritic.com/game/xbox-360/garou-mark-of-the-wolves"
"Gatling Gears","xbox360",74,"2011-05-11","https://www.metacritic.com/game/xbox-360/gatling-gears"
"Gel: Set & Match","xbox360",72,"2009-05-20","https://www.metacritic.com/game/xbox-360/gel-set-match"
"GoldenEye 007: Reloaded","xbox360",72,"2011-11-01","https://www.metacritic.com/game/xbox-360/goldeneye-007-reloaded"
"Gotham City Impostors","xbox360",71,"2012-02-08","https://www.metacritic.com/game/xbox-360/gotham-city-impostors"
"Grand Slam Tennis 2","xbox360",71,"2012-02-14","https://www.metacritic.com/game/xbox-360/grand-slam-tennis-2"
"Green Day: Rock Band","xbox360",75,"2010-06-08","https://www.metacritic.com/game/xbox-360/green-day-rock-band"
"GRID Autosport","xbox360",75,"2014-06-24","https://www.metacritic.com/game/xbox-360/grid-autosport"
"GripShift","xbox360",72,"2007-12-12","https://www.metacritic.com/game/xbox-360/gripshift"
"Guardians of Middle-Earth","xbox360",71,"2012-12-04","https://www.metacritic.com/game/xbox-360/guardians-of-middle-earth"
"Guilty Gear XX Accent Core Plus","xbox360",74,"2012-10-24","https://www.metacritic.com/game/xbox-360/guilty-gear-xx-accent-core-plus"
"Guitar Hero: Aerosmith","xbox360",70,"2008-06-29","https://www.metacritic.com/game/xbox-360/guitar-hero-aerosmith"
"Guitar Hero: Smash Hits","xbox360",71,"2009-06-16","https://www.metacritic.com/game/xbox-360/guitar-hero-smash-hits"
"Guitar Hero: Warriors of Rock","xbox360",72,"2010-09-28","https://www.metacritic.com/game/xbox-360/guitar-hero-warriors-of-rock"
"Gun","xbox360",75,"2005-11-16","https://www.metacritic.com/game/xbox-360/gun"
"Guwange","xbox360",76,"2010-11-10","https://www.metacritic.com/game/xbox-360/guwange"
"Gyromancer","xbox360",75,"2009-11-18","https://www.metacritic.com/game/xbox-360/gyromancer"
"Half-Minute Hero: Super Mega Neo Climax","xbox360",76,"2011-06-29","https://www.metacritic.com/game/xbox-360/half-minute-hero-super-mega-neo-climax"
"Hard Corps: Uprising","xbox360",75,"2011-02-16","https://www.metacritic.com/game/xbox-360/hard-corps-uprising"
"Hasbro Family Game Night: Battleship","xbox360",72,"2009-03-18","https://www.metacritic.com/game/xbox-360/hasbro-family-game-night-battleship"
"Hasbro Family Game Night: Connect Four","xbox360",74,"2009-03-18","https://www.metacritic.com/game/xbox-360/hasbro-family-game-night-connect-four"
"Hasbro Family Game Night: Sorry!","xbox360",71,"2009-03-18","https://www.metacritic.com/game/xbox-360/hasbro-family-game-night-sorry!"
"Hasbro Family Game Night: Sorry! Sliders","xbox360",74,"2009-03-18","https://www.metacritic.com/game/xbox-360/hasbro-family-game-night-sorry!-sliders"
"Haunt","xbox360",70,"2012-01-18","https://www.metacritic.com/game/xbox-360/haunt"
"Heavy Weapon: Atomic Tank","xbox360",77,"2007-01-17","https://www.metacritic.com/game/xbox-360/heavy-weapon-atomic-tank"
"Hell Yeah! Wrath of the Dead Rabbit","xbox360",70,"2012-09-26","https://www.metacritic.com/game/xbox-360/hell-yeah!-wrath-of-the-dead-rabbit"
"Hexic 2","xbox360",72,"2007-08-15","https://www.metacritic.com/game/xbox-360/hexic-2"
"Homefront","xbox360",70,"2011-03-15","https://www.metacritic.com/game/xbox-360/homefront"
"Hybrid","xbox360",73,"2012-08-08","https://www.metacritic.com/game/xbox-360/hybrid"
"Hydro Thunder Hurricane","xbox360",75,"2010-07-28","https://www.metacritic.com/game/xbox-360/hydro-thunder-hurricane"
"Insanely Twisted Shadow Planet","xbox360",76,"2011-08-03","https://www.metacritic.com/game/xbox-360/insanely-twisted-shadow-planet"
"Ion Assault","xbox360",74,"2009-09-23","https://www.metacritic.com/game/xbox-360/ion-assault"
"Jet Set Radio","xbox360",70,"2012-09-19","https://www.metacritic.com/game/xbox-360/jet-set-radio"
"Jetpac Refuelled","xbox360",73,"2006-10-24","https://www.metacritic.com/game/xbox-360/jetpac-refuelled"
"Jonah Lomu Rugby Challenge","xbox360",73,"2011-10-18","https://www.metacritic.com/game/xbox-360/jonah-lomu-rugby-challenge"
"Just Cause","xbox360",73,"2006-09-27","https://www.metacritic.com/game/xbox-360/just-cause"
"Just Dance 3","xbox360",70,"2011-10-07","https://www.metacritic.com/game/xbox-360/just-dance-3"
"Just Dance 4","xbox360",77,"2012-10-09","https://www.metacritic.com/game/xbox-360/just-dance-4"
"Karaoke Revolution Presents: American Idol Encore","xbox360",70,"2008-02-05","https://www.metacritic.com/game/xbox-360/karaoke-revolution-presents-american-idol-encore"
"Kinect Sports","xbox360",73,"2010-11-04","https://www.metacritic.com/game/xbox-360/kinect-sports"
"Kinect: Disneyland Adventures","xbox360",73,"2011-11-15","https://www.metacritic.com/game/xbox-360/kinect-disneyland-adventures"
"Kinectimals","xbox360",74,"2010-11-04","https://www.metacritic.com/game/xbox-360/kinectimals"
"L.A. Noire: Nicholson Electroplating Disaster","xbox360",70,"2011-06-21","https://www.metacritic.com/game/xbox-360/la-noire-nicholson-electroplating-disaster"
"Left 4 Dead 2: The Passing","xbox360",74,"2010-04-22","https://www.metacritic.com/game/xbox-360/left-4-dead-2-the-passing"
"Left 4 Dead: Crash Course","xbox360",76,"2009-09-29","https://www.metacritic.com/game/xbox-360/left-4-dead-crash-course"
"LEGO Batman: The Videogame","xbox360",76,"2008-09-23","https://www.metacritic.com/game/xbox-360/lego-batman-the-videogame"
"LEGO Indiana Jones 2: The Adventure Continues","xbox360",71,"2009-11-17","https://www.metacritic.com/game/xbox-360/lego-indiana-jones-2-the-adventure-continues"
