platform,Title,Score,compatibility,link,user score,release date,Price,price charting id,,release year,score tier,score pctl,price tier,price pctl,points per dollar,ppd 69,
3ds,Phoenix Wright: Ace Attorney - Dual Destinies,81,,https://www.metacritic.com/game/3ds/phoenix-wright-ace-attorney---dual-destinies,8.1,"Oct 24, 2013",,,,2013,,,,,,,
3ds,Phoenix Wright: Ace Attorney Trilogy,81,,https://www.metacritic.com/game/3ds/phoenix-wright-ace-attorney-trilogy,8.6,"Dec 9, 2014",,,,2014,,,,,,,
3ds,3D Fantasy Zone II W,81,,https://www.metacritic.com/game/3ds/3d-fantasy-zone-ii-w,7,"Apr 16, 2015",,,,2015,,,,,,,
3ds,Fire Emblem Echoes: Shadows of Valentia,81,,https://www.metacritic.com/game/3ds/fire-emblem-echoes-shadows-of-valentia,8.6,"May 19, 2017",,,,2017,,,,,,,
3ds,Mario & Luigi: Dream Team,81,,https://www.metacritic.com/game/3ds/mario-luigi-dream-team,8.2,"Aug 11, 2013",,,,2013,,,,,,,
3ds,Professor Layton and the Azran Legacy,81,,https://www.metacritic.com/game/3ds/professor-layton-and-the-azran-legacy,8.1,"Feb 28, 2014",,,,2014,,,,,,,
3ds,Star Fox 64 3D,81,,https://www.metacritic.com/game/3ds/star-fox-64-3d,8.1,"Sep 9, 2011",,,,2011,,,,,,,
3ds,Phoenix Wright: Ace Attorney - Spirit of Justice,81,,https://www.metacritic.com/game/3ds/phoenix-wright-ace-attorney---spirit-of-justice,8.3,"Sep 8, 2016",,,,2016,,,,,,,
3ds,Persona Q2: New Cinema Labyrinth,81,,https://www.metacritic.com/game/3ds/persona-q2-new-cinema-labyrinth,7.8,"Jun 4, 2019",,,,2019,,,,,,,
3ds,Bravely Second: End Layer,81,,https://www.metacritic.com/game/3ds/bravely-second-end-layer,8.2,"Apr 15, 2016",,,,2016,,,,,,,
3ds,Zero Escape: Zero Time Dilemma,81,,https://www.metacritic.com/game/3ds/zero-escape-zero-time-dilemma,8,"Jun 28, 2016",,,,2016,,,,,,,
3ds,Etrian Odyssey Nexus,81,,https://www.metacritic.com/game/3ds/etrian-odyssey-nexus,6.6,"Feb 5, 2019",,,,2019,,,,,,,
3ds,Dragon Quest VII: Fragments of the Forgotten Past,81,,https://www.metacritic.com/game/3ds/dragon-quest-vii-fragments-of-the-forgotten-past,8.3,"Sep 16, 2016",,,,2016,,,,,,,
3ds,3D After Burner II,81,,https://www.metacritic.com/game/3ds/3d-after-burner-ii,7.8,"Jan 15, 2015",,,,2015,,,,,,,
3ds,Shin Megami Tensei: Strange Journey Redux,80,,https://www.metacritic.com/game/3ds/shin-megami-tensei-strange-journey-redux,3.5,"May 15, 2018",,,,2018,,,,,,,
3ds,BoxBoxBoy!,80,,https://www.metacritic.com/game/3ds/boxboxboy!,7.9,"Jun 30, 2016",,,,2016,,,,,,,
3ds,Etrian Odyssey Untold: The Millennium Girl,80,,https://www.metacritic.com/game/3ds/etrian-odyssey-untold-the-millennium-girl,8.1,"Oct 1, 2013",,,,2013,,,,,,,
3ds,Mutant Mudds,80,,https://www.metacritic.com/game/3ds/mutant-mudds,6.8,"Jan 26, 2012",,,,2012,,,,,,,
3ds,Gunman Clive 2,80,,https://www.metacritic.com/game/3ds/gunman-clive-2,7.7,"Jan 20, 2015",,,,2015,,,,,,,
3ds,Etrian Odyssey V: Beyond the Myth,80,,https://www.metacritic.com/game/3ds/etrian-odyssey-v-beyond-the-myth,7.9,"Oct 17, 2017",,,,2017,,,,,,,
3ds,Style Savvy: Styling Star,80,,https://www.metacritic.com/game/3ds/style-savvy-styling-star,7.2,"Dec 25, 2017",,,,2017,,,,,,,
3ds,Yo-kai Watch 3,80,,https://www.metacritic.com/game/3ds/yo-kai-watch-3,7.6,"Feb 8, 2019",,,,2019,,,,,,,
3ds,BOXBOY!,80,,https://www.metacritic.com/game/3ds/boxboy!,8.1,"Apr 2, 2015",,,,2015,,,,,,,
3ds,Kirby: Triple Deluxe,80,,https://www.metacritic.com/game/3ds/kirby-triple-deluxe,8.7,"May 2, 2014",,,,2014,,,,,,,
3ds,Hatsune Miku: Project Mirai DX,80,,https://www.metacritic.com/game/3ds/hatsune-miku-project-mirai-dx,8.1,"Sep 8, 2015",,,,2015,,,,,,,
3ds,Dead or Alive: Dimensions,79,,https://www.metacritic.com/game/3ds/dead-or-alive-dimensions,8.1,"May 24, 2011",,,,2011,,,,,,,
3ds,Kirby's Extra Epic Yarn,79,,https://www.metacritic.com/game/3ds/kirbys-extra-epic-yarn,6.7,"Mar 8, 2019",,,,2019,,,,,,,
